종목코드,현재가,등락률,20MA,거래량비율,RSI,60봉최다고가상승률
8218,3570,0.71,3493,153,64.66,2.64
8219,837,1.78,836,102,48.17,3.89
8227,3315,-0.66,3430,97,38.0,6.29
8233,1903,1.33,1838,88,63.2,11.0
8237,1945,-3.81,2017,174,43.76,7.35
8242,2466,1.52,2338,146,69.36,8.85
8244,1786,0.34,1757,172,60.49,2.59
8252,3133,0.51,3100,178,46.15,3.02
8253,4211,0.14,4350,134,37.71,11.04
8255,1251,-0.16,1248,190,58.64,5.61
8260,461,3.13,464,52,46.55,8.97
8267,1915,0.68,2003,105,33.87,7.42
8273,1037,0.19,1015,108,60.0,5.3
8275,1135,0.35,1114,280,60.94,2.24
8276,2948,0.24,2885,137,59.77,4.52
8278,2067,0.29,2006,128,77.08,4.35
8281,1018,0.49,1050,179,31.67,5.23
8282,1696,0.65,1646,227,59.8,3.03
8283,4791,1.5,4745,268,49.83,3.09
8285,719,2.42,711,255,51.23,11.2
8291,523,0.38,526,268,43.75,3.31
8304,2628,0.32,2568,96,52.25,7.66
8306,2715,0.54,2706,159,46.79,5.43
8308,1822,0.19,1781,161,50.93,8.25
8309,5113,0.29,5083,144,47.35,5.68
8316,5246,0.0,5300,132,43.79,5.46
8331,2082,1.56,2080,86,47.71,6.07
8334,2282,7.11,2127,545,58.58,8.78
8337,2020,0.85,2104,64,39.61,9.21
8338,609,1.5,614,98,46.36,12.7
8341,9506,1.29,9167,154,54.42,8.46
8344,2498,0.77,2481,201,47.36,10.23
8345,1705,1.64,1645,151,51.84,10.1
8346,678,0.3,659,126,52.81,9.81
8354,6301,1.42,6182,204,53.44,10.87
8358,2068,0.34,1959,82,58.21,7.79
8359,2059,0.34,1976,146,57.65,7.32
8360,5330,4.51,5010,331,55.51,8.98
8361,6300,2.27,6233,218,48.01,8.36
8362,3435,-1.01,3350,208,52.53,8.43
8366,1928,5.82,1739,195,66.47,8.6
8367,1488,0.54,1444,130,52.08,7.86
8368,1573,1.94,1544,182,49.86,9.55
8370,4060,2.65,3970,245,49.49,7.96
8377,6028,1.48,5863,165,49.94,9.62
8381,1774,2.25,1661,130,64.11,6.46
8386,2180,2.47,2175,242,48.28,9.08
8387,2389,1.79,2309,384,55.14,7.5
8388,5960,1.88,5635,239,58.55,7.92
8392,1994,1.84,1926,228,50.99,11.25
8393,1928,1.47,1820,166,54.12,10.27
8395,4935,0.51,4782,163,53.17,9.23
8399,2343,0.21,2307,156,50.87,7.85
8410,277,1.05,278,184,44.54,3.77
8411,6379,0.17,6344,143,46.03,9.71
8418,2513,1.37,2517,177,45.57,6.27
8424,4403,-0.05,4426,198,47.77,3.85
8425,1428,-0.14,1444,158,42.97,3.42
8439,2067,0.05,2116,140,40.81,6.66
